i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
95,3958905,-0.00890780,-0.00875301,-0.00818503,-0.00837615,-0.00915089,-0.10165878,-0.06996712,-0.04560259,-0.02503187,1.43954717,-0.04207354
96,3968903,-0.00840967,-0.00890780,-0.00875301,-0.00818503,-0.00837615,-0.04207354,-0.10165878,-0.06996712,-0.04560259,1.39747363,-0.01683023
97,3978903,-0.00800019,-0.00840967,-0.00890780,-0.00875301,-0.00818503,-0.01683023,-0.04207354,-0.10165878,-0.06996712,1.38064340,-0.05000709
98,3988903,-0.00793636,-0.00800019,-0.00840967,-0.00890780,-0.00875301,-0.05000709,-0.01683023,-0.04207354,-0.10165878,1.33063631,-0.06048191
99,3998903,-0.00757734,-0.00793636,-0.00800019,-0.00840967,-0.00890780,-0.06048191,-0.05000709,-0.01683023,-0.04207354,1.27015440,-0.02487021
100,4008903,-0.00644864,-0.00757734,-0.00793636,-0.00800019,-0.00840967,-0.02487021,-0.06048191,-0.05000709,-0.01683023,1.24528419,0.01466613
101,4018903,-0.00533924,-0.00644864,-0.00757734,-0.00793636,-0.00800019,0.01466613,-0.02487021,-0.06048191,-0.05000709,1.25995032,-0.01346551
102,4028903,-0.00509784,-0.00533924,-0.00644864,-0.00757734,-0.00793636,-0.01346551,0.01466613,-0.02487021,-0.06048191,1.24648481,-0.06378518
103,4038903,-0.00457842,-0.00509784,-0.00533924,-0.00644864,-0.00757734,-0.06378518,-0.01346551,0.01466613,-0.02487021,1.18269962,-0.00142060
104,4048903,-0.00394914,-0.00457842,-0.00509784,-0.00533924,-0.00644864,-0.00142060,-0.06378518,-0.01346551,0.01466613,1.18127902,-0.00966919
105,4058905,-0.00309220,-0.00394914,-0.00457842,-0.00509784,-0.00533924,-0.00966919,-0.00142060,-0.06378518,-0.01346551,1.17160983,0.00455286
106,4068903,-0.00206067,-0.00309220,-0.00394914,-0.00457842,-0.00509784,0.00455286,-0.00966919,-0.00142060,-0.06378518,1.17616269,0.02007326
107,4078903,-0.00084459,-0.00206067,-0.00309220,-0.00394914,-0.00457842,0.02007326,0.00455286,-0.00966919,-0.00142060,1.19623595,0.02773597
