i,time,raw_accel,raw_gyro,kalman_accel
250,5502534,0.86788523,-18.82470703,0.04421113
251,5504527,0.90647421,-35.36523438,0.04974097
252,5506519,0.77180563,-48.79296875,0.05370722
253,5508517,0.95600733,-61.73242188,0.05860099
254,5510548,1.05935418,-74.91601562,0.06377152
255,5512576,0.82954063,-88.52685547,0.06663724
256,5514570,1.01877226,-108.30224609,0.07035299
257,5516562,1.15942580,-124.41552734,0.07454656
258,5518555,1.11909156,-141.38330078,0.07781828
259,5520650,0.89120358,-157.74072266,0.07861051
260,5522669,0.76466442,-171.90087891,0.07785326
261,5524662,0.84393834,-186.18310547,0.07740783
262,5526654,0.48016454,-195.46044922,0.07382899
263,5528643,-0.00276590,-202.23535156,0.06633139
264,5530747,-0.30782045,-206.20263672,0.05618831
265,5532772,0.09570909,-208.76611328,0.04902358
266,5534772,0.25047178,-210.53613281,0.04327246
267,5536773,0.14818223,-211.08544922,0.03676965
268,5538778,-0.43399595,-212.55029297,0.02580065
269,5541021,-0.59359004,-210.96337891,0.01327640
270,5543051,-0.30174942,-210.23095703,0.00302374
271,5545063,-0.12465683,-205.40917969,-0.00513878
272,5547071,-0.46968592,-198.75634766,-0.01567053
273,5549080,-0.51643499,-195.76562500,-0.02635045
274,5551153,-0.51758951,-187.89208984,-0.03684110
275,5553161,-0.36858707,-181.72753906,-0.04589306
276,5555154,-0.58298331,-174.40332031,-0.05609549
277,5557147,-0.56896379,-167.68945312,-0.06587767
278,5559132,-0.65055280,-157.80175781,-0.07588338
279,5561377,-0.56152950,-144.92333984,-0.08502960
280,5563420,-0.70450764,-136.37841797,-0.09496741
281,5565413,-0.80770315,-128.44384766,-0.10497555
282,5567414,-0.94942008,-113.36816406,-0.11551483
283,5569408,-0.86330759,-94.87451172,-0.12470056
284,5571412,-0.74703769,-75.28222656,-0.13225698
285,5573425,-0.72219639,-55.01855469,-0.13888991
286,5575423,-0.69400499,-37.44042969,-0.14460101
287,5577417,-0.73605445,-22.79199219,-0.15005748
288,5579411,-0.64915767,-11.43945312,-0.15438349
289,5581415,-0.75895731,-1.06347656,-0.15915165
290,5583430,-0.80612580,13.34082031,-0.16378048
291,5585425,-0.67677700,28.35546875,-0.16686911
292,5587423,-0.58480609,45.81152344,-0.16864561
293,5589418,-0.61450116,63.02343750,-0.17003991
294,5591423,-0.52938644,78.22119141,-0.17022142
295,5593437,-0.26286756,90.55029297,-0.16787836
296,5595430,-0.09706234,99.46142578,-0.16397689
297,5597421,0.06476257,103.30664062,-0.15869172
298,5599412,0.16785498,104.22216797,-0.15260083
299,5601413,0.02452867,104.83251953,-0.14762344
300,5603424,0.12681520,101.23144531,-0.14195486
301,5605414,0.26282712,97.02001953,-0.13546579
302,5607404,0.16167638,93.72412109,-0.12992758
303,5609393,0.28918727,89.93994141,-0.12358032
304,5611413,0.24548527,88.35302734,-0.11766800
305,5613431,0.30857081,80.54052734,-0.11149928
306,5615426,0.62477640,73.76562500,-0.10324181
307,5617419,0.34943239,69.92041016,-0.09732205
308,5619409,0.36939620,62.59619141,-0.09151936
309,5621410,0.36482777,55.88232422,-0.08603068
310,5623420,0.35778234,50.81640625,-0.08081078
311,5625411,0.37428679,46.17773438,-0.07568687
312,5627399,0.19498035,43.18701172,-0.07209792
313,5629388,0.10278892,38.60937500,-0.06938715
314,5631388,0.28608782,35.00830078,-0.06542184
315,5633397,0.18608589,32.87207031,-0.06232880
316,5635386,-0.01104981,30.67480469,-0.06085870
317,5637375,0.00236376,28.66064453,-0.05936917
318,5639364,0.15620560,25.48681641,-0.05681132
319,5641365,0.26599160,24.51025391,-0.05348228
320,5643372,0.01647658,21.88574219,-0.05216002
321,5645361,-0.06215225,19.01708984,-0.05155593
322,5647351,0.09191329,18.46777344,-0.04981538
323,5649339,0.21965718,16.88085938,-0.04715577
324,5651340,0.09698744,14.98876953,-0.04551702
325,5653348,-0.04851945,11.93701172,-0.04509670
326,5655337,0.01625937,9.80078125,-0.04426994
327,5657325,0.09762288,8.76318359,-0.04287226
328,5659319,0.08247470,6.44384766,-0.04166966
329,5661385,-0.01600000,4.49072266,-0.04129783
330,5663415,-0.15451208,2.72070312,-0.04205193
331,5665405,-0.12080171,2.53759766,-0.04256562
332,5667393,-0.16774008,3.20898438,-0.04341986
333,5669383,-0.23029223,4.42968750,-0.04470945
334,5671382,-0.36233851,6.74902344,-0.04692946
335,5673391,-0.40553301,9.49560547,-0.04936991
336,5675380,-0.38371613,14.43945312,-0.05147643
337,5677372,-0.43423203,19.07812500,-0.05379061
338,5679365,-0.43590829,24.14404297,-0.05592804
339,5681394,-0.36358728,30.00341797,-0.05729067
340,5683407,-0.29546837,34.88623047,-0.05793218
341,5685396,-0.21245077,39.03662109,-0.05780593
342,5687385,-0.25041074,42.63769531,-0.05784365
343,5689374,-0.18879979,45.20117188,-0.05731177
344,5691375,-0.08880928,47.21533203,-0.05593919
345,5693383,-0.02749042,47.94775391,-0.05405708
