i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
118,4188914,0.09335471,0.10488943,0.12072223,0.13701114,0.14570961,0.34658981,-0.00641998,0.94362128,0.21731650,7.72300358,0.59081493
119,4198914,0.08217068,0.09335471,0.10488943,0.12072223,0.13701114,0.59081493,0.34658981,-0.00641998,0.94362128,8.31381851,0.23296849
120,4208914,0.07032816,0.08217068,0.09335471,0.10488943,0.12072223,0.23296849,0.59081493,0.34658981,-0.00641998,8.54678700,0.19643160
121,4218914,0.05600673,0.07032816,0.08217068,0.09335471,0.10488943,0.19643160,0.23296849,0.59081493,0.34658981,8.74321860,-0.03269232
122,4228914,0.04251609,0.05600673,0.07032816,0.08217068,0.09335471,-0.03269232,0.19643160,0.23296849,0.59081493,8.71052628,0.00918605
123,4238914,0.02517693,0.04251609,0.05600673,0.07032816,0.08217068,0.00918605,-0.03269232,0.19643160,0.23296849,8.71971232,-0.37928502
124,4248914,0.00930209,0.02517693,0.04251609,0.05600673,0.07032816,-0.37928502,0.00918605,-0.03269232,0.19643160,8.34042730,-0.21595476
125,4258917,-0.00438883,0.00930209,0.02517693,0.04251609,0.05600673,-0.21595476,-0.37928502,0.00918605,-0.03269232,8.12447254,-0.21559464
126,4268914,-0.01643183,-0.00438883,0.00930209,0.02517693,0.04251609,-0.21559464,-0.21595476,-0.37928502,0.00918605,7.90887790,-0.31075052
127,4278914,-0.03027131,-0.01643183,-0.00438883,0.00930209,0.02517693,-0.31075052,-0.21559464,-0.21595476,-0.37928502,7.59812738,-0.55185130
128,4288914,-0.04438965,-0.03027131,-0.01643183,-0.00438883,0.00930209,-0.55185130,-0.31075052,-0.21559464,-0.21595476,7.04627608,-0.58365846
129,4298914,-0.06102308,-0.04438965,-0.03027131,-0.01643183,-0.00438883,-0.58365846,-0.55185130,-0.31075052,-0.21559464,6.46261761,-0.85382620
130,4308914,-0.07753898,-0.06102308,-0.04438965,-0.03027131,-0.01643183,-0.85382620,-0.58365846,-0.55185130,-0.31075052,5.60879141,-0.84578573
131,4318914,-0.09162839,-0.07753898,-0.06102308,-0.04438965,-0.03027131,-0.84578573,-0.85382620,-0.58365846,-0.55185130,4.76300568,-0.77159604
132,4328914,-0.10512198,-0.09162839,-0.07753898,-0.06102308,-0.04438965,-0.77159604,-0.84578573,-0.85382620,-0.58365846,3.99140964,-0.94679634
133,4338914,-0.11716431,-0.10512198,-0.09162839,-0.07753898,-0.06102308,-0.94679634,-0.77159604,-0.84578573,-0.85382620,3.04461330,-0.93077870
134,4348914,-0.12847330,-0.11716431,-0.10512198,-0.09162839,-0.07753898,-0.93077870,-0.94679634,-0.77159604,-0.84578573,2.11383460,-1.01555138
135,4358919,-0.14104906,-0.12847330,-0.11716431,-0.10512198,-0.09162839,-1.01555138,-0.93077870,-0.94679634,-0.77159604,1.09828322,-1.22815206
136,4368914,-0.15129858,-0.14104906,-0.12847330,-0.11716431,-0.10512198,-1.22815206,-1.01555138,-0.93077870,-0.94679634,-0.12986884,-1.06706264
137,4378914,-0.16477188,-0.15129858,-0.14104906,-0.12847330,-0.11716431,-1.06706264,-1.22815206,-1.01555138,-0.93077870,-1.19693148,-1.48488550
138,4388914,-0.17633424,-0.16477188,-0.15129858,-0.14104906,-0.12847330,-1.48488550,-1.06706264,-1.22815206,-1.01555138,-2.68181698,-1.28682600
139,4398914,-0.17688578,-0.17633424,-0.16477188,-0.15129858,-0.14104906,-1.28682600,-1.48488550,-1.06706264,-1.22815206,-3.96864298,-0.63204063
140,4408914,-0.18375841,-0.17688578,-0.17633424,-0.16477188,-0.15129858,-0.63204063,-1.28682600,-1.48488550,-1.06706264,-4.60068361,-1.64292866
141,4418914,-0.17986810,-0.18375841,-0.17688578,-0.17633424,-0.16477188,-1.64292866,-0.63204063,-1.28682600,-1.48488550,-6.24361228,-0.54772467
142,4428914,-0.16434343,-0.17986810,-0.18375841,-0.17688578,-0.17633424,-0.54772467,-1.64292866,-0.63204063,-1.28682600,-6.79133695,-0.16198403
143,4438914,-0.14997449,-0.16434343,-0.17986810,-0.18375841,-0.17688578,-0.16198403,-0.54772467,-1.64292866,-0.63204063,-6.95332098,-0.78372003
144,4448914,-0.13940005,-0.14997449,-0.16434343,-0.17986810,-0.18375841,-0.78372003,-0.16198403,-0.54772467,-1.64292866,-7.73704100,-0.75005890
145,4458919,-0.12883523,-0.13940005,-0.14997449,-0.16434343,-0.17986810,-0.75005890,-0.78372003,-0.16198403,-0.54772467,-8.48709990,-0.55948650
146,4468914,-0.11758888,-0.12883523,-0.13940005,-0.14997449,-0.16434343,-0.55948650,-0.75005890,-0.78372003,-0.16198403,-9.04658640,-0.52430020
147,4478914,-0.10438100,-0.11758888,-0.12883523,-0.13940005,-0.14997449,-0.52430020,-0.55948650,-0.75005890,-0.78372003,-9.57088660,-0.30217684
148,4488914,-0.09104816,-0.10438100,-0.11758888,-0.12883523,-0.13940005,-0.30217684,-0.52430020,-0.55948650,-0.75005890,-9.87306344,-0.28844109
149,4498919,-0.07791294,-0.09104816,-0.10438100,-0.11758888,-0.12883523,-0.28844109,-0.30217684,-0.52430020,-0.55948650,-10.16150453,-0.22949330
150,4508914,-0.06530908,-0.07791294,-0.09104816,-0.10438100,-0.11758888,-0.22949330,-0.28844109,-0.30217684,-0.52430020,-10.39099783,-0.16205472
151,4518914,-0.05124772,-0.06530908,-0.07791294,-0.09104816,-0.10438100,-0.16205472,-0.22949330,-0.28844109,-0.30217684,-10.55305255,0.03380407
152,4528916,-0.03625853,-0.05124772,-0.06530908,-0.07791294,-0.09104816,0.03380407,-0.16205472,-0.22949330,-0.28844109,-10.51924848,0.12423416
153,4538914,-0.02001919,-0.03625853,-0.05124772,-0.06530908,-0.07791294,0.12423416,0.03380407,-0.16205472,-0.22949330,-10.39501432,0.27050435
154,4548914,-0.00456832,-0.02001919,-0.03625853,-0.05124772,-0.06530908,0.27050435,0.12423416,0.03380407,-0.16205472,-10.12450997,0.26922434
155,4558918,0.00907680,-0.00456832,-0.02001919,-0.03625853,-0.05124772,0.26922434,0.27050435,0.12423416,0.03380407,-9.85528564,0.26853512
156,4568914,0.02381957,0.00907680,-0.00456832,-0.02001919,-0.03625853,0.26853512,0.26922434,0.27050435,0.12423416,-9.58675052,0.52086313
157,4578914,0.03847997,0.02381957,0.00907680,-0.00456832,-0.02001919,0.52086313,0.26853512,0.26922434,0.27050435,-9.06588739,0.54342486
158,4588915,0.05334735,0.03847997,0.02381957,0.00907680,-0.00456832,0.54342486,0.52086313,0.26853512,0.26922434,-8.52246253,0.65769497
159,4598914,0.06796240,0.05334735,0.03847997,0.02381957,0.00907680,0.65769497,0.54342486,0.52086313,0.26853512,-7.86476756,0.74205233
160,4608915,0.08714113,0.06796240,0.05334735,0.03847997,0.02381957,0.74205233,0.65769497,0.54342486,0.52086313,-7.12271523,1.16324025
161,4618914,0.10367286,0.08714113,0.06796240,0.05334735,0.03847997,1.16324025,0.74205233,0.65769497,0.54342486,-5.95947498,0.88647135
162,4628914,0.11442941,0.10367286,0.08714113,0.06796240,0.05334735,0.88647135,1.16324025,0.74205233,0.65769497,-5.07300363,0.70317913
