i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
85,3858840,1.23018601,1.25806181,1.28504859,1.30536924,1.32411543,0.00000000,0.00000000,0.43619409,1.41227398,10.78750593,1.43657775
86,3868840,1.20755038,1.23018601,1.25806181,1.28504859,1.30536924,0.00000000,0.00000000,0.00000000,0.43619409,10.78750593,1.44272229
87,3878840,1.18920689,1.20755038,1.23018601,1.25806181,1.28504859,-0.00724505,0.00000000,0.00000000,0.00000000,10.78026089,1.43540866
88,3888840,1.17167860,1.18920689,1.20755038,1.23018601,1.25806181,0.00000000,-0.00724505,0.00000000,0.00000000,10.78026089,1.41774087
89,3898840,1.15806555,1.17167860,1.18920689,1.20755038,1.23018601,0.00000000,0.00000000,-0.00724505,0.00000000,10.78026089,1.42017179
90,3908840,1.14860266,1.15806555,1.17167860,1.18920689,1.20755038,0.00000000,0.00000000,0.00000000,-0.00724505,10.78026089,1.41995895
91,3918840,1.14236176,1.14860266,1.15806555,1.17167860,1.18920689,0.00000000,0.00000000,0.00000000,0.00000000,10.78026089,1.41823107
92,3928840,1.13773186,1.14236176,1.14860266,1.15806555,1.17167860,0.00000000,0.00000000,0.00000000,0.00000000,10.78026089,1.41405549
93,3938842,1.13476581,1.13773186,1.14236176,1.14860266,1.15806555,0.00000000,0.00000000,0.00000000,0.00000000,10.78026089,1.41442896
94,3948845,1.13404343,1.13476581,1.13773186,1.14236176,1.14860266,0.00000000,0.00000000,0.00000000,0.00000000,10.78026089,1.41814753
95,3958843,1.13756658,1.13404343,1.13476581,1.13773186,1.14236176,0.00000000,0.00000000,0.00000000,0.00000000,10.78026089,1.43028479
96,3968843,1.14470464,1.13756658,1.13404343,1.13476581,1.13773186,0.00000000,0.00000000,0.00000000,0.00000000,10.78026089,1.43866807
97,3978840,1.15253595,1.14470464,1.13756658,1.13404343,1.13476581,0.01150529,0.00000000,0.00000000,0.00000000,10.79176617,1.43964760
98,3988840,1.15924173,1.15253595,1.14470464,1.13756658,1.13404343,0.00000000,0.01150529,0.00000000,0.00000000,10.79176617,1.43896845
99,3998840,1.16458832,1.15924173,1.15253595,1.14470464,1.13756658,0.00000000,0.00000000,0.01150529,0.00000000,10.79176617,1.44027217
