n,time,theta,dUtheta,dUu,dU,U,battery_voltage,PWM
128,6016635,0.03805045,-3.25183703,-0.38746389,-3.63930092,0.37573960,14.86767341,25.86645193
129,6036635,0.00141669,-0.48710809,-0.03626004,-0.52336813,-0.14762853,14.86767341,-24.33217650
130,6056634,-0.03524342,-2.72573407,0.01424661,-2.71148746,-2.85911599,14.86767341,-42.56964636
131,6076635,-0.03949284,0.68836573,0.27591358,0.96427931,-1.89483668,14.84873228,-36.12993070
132,6096635,-0.02464261,1.64754594,0.18285763,1.83040357,-0.06443312,14.84873228,-23.80292842
133,6116634,0.01259233,2.44955304,0.00621800,2.45577103,2.39133792,14.84873228,39.47365879
134,6136634,0.04102569,1.28783099,-0.23077154,1.05705945,3.44839737,14.84873228,46.59251198
135,6156634,0.05956363,1.42937960,-0.33278106,1.09659854,4.54499591,14.84873228,53.97764439
136,6176634,0.03998704,-2.63134805,-0.43860623,-3.06995428,1.47504163,14.80482369,33.40155702
137,6196635,0.01240797,-1.12231300,-0.14234610,-1.26465910,0.21038253,14.80482369,24.85934721
138,6216635,-0.00762678,0.12785731,-0.02030257,0.10755475,0.31793727,14.80482369,25.58583168
139,6236635,-0.02183532,-1.72287280,-0.03068193,-1.75355473,-1.43561746,14.80482369,-33.13526431
140,6256634,-0.05262345,-3.82186217,0.13854155,-3.68332063,-5.11893809,14.80482369,-58.01445708
141,6276639,-0.06892782,-0.09956423,0.49399343,0.39442921,-4.72450888,14.68824237,-55.78958106
142,6296635,-0.04012364,3.77545887,0.45592979,4.23138866,-0.49312023,14.68824237,-26.98158246
143,6316634,0.00712586,1.94680644,0.04758763,1.99439408,1.50127385,14.68824237,33.84526023
144,6336634,0.05096577,2.37693937,-0.14487759,2.23206178,3.73333563,14.68824237,49.04150850
145,6356634,0.06229472,0.17842726,-0.36027849,-0.18185123,3.55148440,14.68824237,47.80343502
146,6376635,0.03855181,-2.66550930,-0.34272928,-3.00823858,0.54324582,14.83853588,27.04610382
