i,time,raw_accel,raw_gyro,kalman_accel
228,3916306,0.55430814,120.76269531,-0.02235596
229,3918354,0.59868802,115.26953125,-0.01230228
230,3920341,0.61593400,108.79980469,0.00000000
231,3922329,0.87194708,103.06250000,0.00000000
232,3924317,0.87256564,94.57861328,0.02121137
233,3926306,0.90889551,82.37158203,0.03258110
234,3928353,0.90513394,67.84521484,0.04333388
235,3930341,0.83701046,53.74609375,0.05299043
236,3932329,0.92155968,37.63281250,0.06270382
237,3934317,0.86111200,23.59472656,0.07132469
238,3936305,0.90537469,8.76318359,0.07977034
239,3938353,0.81915933,-4.96972656,0.08691583
240,3940341,0.71929585,-18.33642578,0.09266757
241,3942329,0.77063387,-30.48242188,0.09841748
242,3944316,0.67706655,-38.60009766,0.10301656
243,3946304,0.87625733,-48.60986328,0.10901581
244,3948489,0.71090129,-55.38476562,0.11327231
245,3950481,1.03991436,-65.02832031,0.11996388
246,3952473,0.84059054,-73.20703125,0.12469655
247,3954464,0.85636628,-84.19335938,0.12916226
248,3956454,0.95174282,-94.87451172,0.13408476
249,3958526,0.61148130,-103.66357422,0.13565394
250,3960573,0.73047418,-117.45751953,0.13767313
251,3962612,0.29198958,-129.78662109,0.13539672
252,3964599,0.46990135,-146.32714844,0.13415713
253,3966583,0.05611662,-153.65136719,0.12911940
254,3968724,-0.33177481,-158.16796875,0.12053681
255,3970728,-0.59014638,-161.15869141,0.10925753
256,3972732,-0.77311464,-167.50634766,0.09654172
257,3974728,-0.31099908,-168.72705078,0.08797483
258,3976732,-0.60868519,-165.61425781,0.07696668
259,3978742,-0.70127341,-162.68457031,0.06530752
260,3980741,-0.78819591,-160.85351562,0.05301429
261,3982741,-0.74144554,-152.43066406,0.04154656
262,3984742,-0.96854370,-143.21435547,0.02847152
263,3986742,-0.90054537,-136.92773438,0.01630935
264,3988744,-0.90053063,-122.34033203,0.00000000
265,3990742,-0.69145771,-107.44775391,0.00000000
266,3992741,-0.69025774,-90.72412109,-0.01284013
267,3994741,-1.07858125,-73.57324219,-0.02407440
268,3996741,-1.16433825,-51.84472656,-0.03523566
269,3998743,-0.87003100,-32.74072266,-0.04306599
270,4000741,-0.59766132,-6.98388672,-0.04755338
271,4002741,-0.78097802,13.34082031,-0.05292475
272,4004741,-0.92583789,31.46826172,-0.05891063
273,4006741,-0.75531856,48.68017578,-0.06276561
274,4008743,-0.63789517,57.22509766,-0.06527076
275,4010742,-0.69579647,73.58251953,-0.06770511
276,4012741,-0.77122242,85.05712891,-0.07040231
277,4014741,-0.80231590,98.54589844,-0.07289609
278,4016741,-0.45750065,110.26464844,-0.07194659
279,4018739,-0.26032749,122.71582031,-0.06885280
280,4020737,-0.33245258,132.72558594,-0.06608124
281,4022734,-0.33118698,138.70703125,-0.06312392
282,4024729,-0.16907674,145.66503906,-0.05853738
283,4026727,0.17485536,149.63232422,-0.05085070
284,4028733,0.20372531,149.87646484,-0.04295763
285,4030728,0.03833283,148.35058594,-0.03660590
286,4032728,0.03416747,147.19091797,-0.03041572
287,4034728,0.33125761,143.89501953,-0.02178490
288,4036731,0.59279882,140.41601562,-0.01105877
289,4038731,0.61190598,134.80078125,0.00000000
290,4040732,0.51177617,128.08691406,0.00000000
291,4042733,0.90102051,121.18994141,0.02151220
292,4044732,0.85686480,108.37255859,0.03310850
293,4046732,0.95948345,96.47070312,0.04509547
294,4048731,0.91959020,79.01464844,0.05604602
295,4050732,0.83819697,65.95312500,0.06575690
296,4052732,0.91926858,47.76464844,0.07547683
297,4054732,0.91528820,34.39794922,0.08462967
298,4056732,1.13123869,19.99365234,0.09509769
299,4058735,0.99512568,4.55175781,0.10377669
300,4060792,0.90945403,-10.95117188,0.11111746
301,4062854,0.87484348,-26.51513672,0.11756557
302,4064841,0.72534106,-38.84423828,0.12223839
303,4066828,0.70145728,-48.06054688,0.12637647
304,4068844,0.54694303,-54.65234375,0.12892186
305,4070832,0.88348086,-64.60107422,0.13400835
306,4072821,0.98503388,-76.50292969,0.13955513
307,4074800,1.01261584,-92.18896484,0.14476729
308,4076795,0.95753865,-108.54638672,0.14892445
309,4078796,1.02025782,-125.94140625,0.15297951
310,4080793,1.02286124,-144.80126953,0.15637476
311,4082783,0.88132880,-159.75488281,0.15802669
312,4084780,0.56844105,-172.02294922,0.15656497
313,4086773,0.32016550,-179.95751953,0.15268713
314,4088789,-0.08884093,-186.54931641,0.14509819
315,4090775,-0.43486224,-188.01416016,0.13446968
316,4092772,-0.53622997,-185.14550781,0.12323119
317,4094769,-0.67138625,-179.89648438,0.11106380
318,4096766,-0.59105143,-179.77441406,0.09968432
319,4098777,-0.55750181,-176.41748047,0.08879581
320,4100774,-0.72223503,-171.71777344,0.07669770
